Entity,Sector,Subsector
Beacon Chain,Core Protocol Architecture,Consensus Layer
Prysm,Core Protocol Architecture,Consensus Layer
Lighthouse,Core Protocol Architecture,Consensus Layer
Teku,Core Protocol Architecture,Consensus Layer
Nimbus,Core Protocol Architecture,Consensus Layer
Geth,Core Protocol Architecture,Execution Layer
Nethermind,Core Protocol Architecture,Execution Layer
Erigon,Core Protocol Architecture,Execution Layer
Besu,Core Protocol Architecture,Execution Layer
Reth,Core Protocol Architecture,Execution Layer
Lido,Core Protocol Architecture,Validators & Staking Providers
Rocket Pool,Core Protocol Architecture,Validators & Staking Providers
StakeWise,Core Protocol Architecture,Validators & Staking Providers
Kiln,Core Protocol Architecture,Validators & Staking Providers
Puffer Finance,Core Protocol Architecture,Validators & Staking Providers
Flashbots,Core Protocol Architecture,MEV & Block Builders
Blocknative,Core Protocol Architecture,MEV & Block Builders
Eden Network,Core Protocol Architecture,MEV & Block Builders
Arbitrum,Rollup & Scaling Frameworks,Optimistic Rollups
Optimism,Rollup & Scaling Frameworks,Optimistic Rollups
Base,Rollup & Scaling Frameworks,Optimistic Rollups
Blast,Rollup & Scaling Frameworks,Optimistic Rollups
zkSync,Rollup & Scaling Frameworks,ZK Rollups
Starknet,Rollup & Scaling Frameworks,ZK Rollups
Scroll,Rollup & Scaling Frameworks,ZK Rollups
Polygon zkEVM,Rollup & Scaling Frameworks,ZK Rollups
Linea,Rollup & Scaling Frameworks,ZK Rollups
LayerZero,Rollup & Scaling Frameworks,Bridges & Messaging
Axelar,Rollup & Scaling Frameworks,Bridges & Messaging
Wormhole,Rollup & Scaling Frameworks,Bridges & Messaging
Synapse,Rollup & Scaling Frameworks,Bridges & Messaging
USDT,Monetary & Access Rails,Centralized Stablecoins
USDC,Monetary & Access Rails,Centralized Stablecoins
FDUSD,Monetary & Access Rails,Centralized Stablecoins
PYUSD,Monetary & Access Rails,Centralized Stablecoins
DAI,Monetary & Access Rails,Decentralized Stablecoins
LUSD,Monetary & Access Rails,Decentralized Stablecoins
FRAX,Monetary & Access Rails,Decentralized Stablecoins
crvUSD,Monetary & Access Rails,Decentralized Stablecoins
GHO,Monetary & Access Rails,Decentralized Stablecoins
MoonPay,Monetary & Access Rails,Global On-Ramps
Ramp Network,Monetary & Access Rails,Global On-Ramps
Transak,Monetary & Access Rails,Global On-Ramps
Banxa,Monetary & Access Rails,Global On-Ramps
Aave,DeFi Systems Architecture,Lending Markets
Compound,DeFi Systems Architecture,Lending Markets
Morpho,DeFi Systems Architecture,Lending Markets
Euler,DeFi Systems Architecture,Lending Markets
Uniswap,DeFi Systems Architecture,DEXs & Liquidity Protocols
Curve,DeFi Systems Architecture,DEXs & Liquidity Protocols
Balancer,DeFi Systems Architecture,DEXs & Liquidity Protocols
Sushi,DeFi Systems Architecture,DEXs & Liquidity Protocols
stETH,DeFi Systems Architecture,Liquid Staking Tokens (LSTs)
rETH,DeFi Systems Architecture,Liquid Staking Tokens (LSTs)
cbETH,DeFi Systems Architecture,Liquid Staking Tokens (LSTs)
ankrETH,DeFi Systems Architecture,Liquid Staking Tokens (LSTs)
Alchemy,Data & Consensus Infrastructure,RPC & Node Providers
Infura,Data & Consensus Infrastructure,RPC & Node Providers
QuickNode,Data & Consensus Infrastructure,RPC & Node Providers
Chainstack,Data & Consensus Infrastructure,RPC & Node Providers
Chainlink,Data & Consensus Infrastructure,Oracles & Data Networks
Pyth,Data & Consensus Infrastructure,Oracles & Data Networks
RedStone,Data & Consensus Infrastructure,Oracles & Data Networks
API3,Data & Consensus Infrastructure,Oracles & Data Networks
Dune,Data & Consensus Infrastructure,Analytics & Intelligence
Nansen,Data & Consensus Infrastructure,Analytics & Intelligence
Arkham,Data & Consensus Infrastructure,Analytics & Intelligence
Token Terminal,Data & Consensus Infrastructure,Analytics & Intelligence
Glassnode,Data & Consensus Infrastructure,Analytics & Intelligence
Centrifuge,Advanced Compute & Integration,Real-World Assets (RWAs)
Ondo,Advanced Compute & Integration,Real-World Assets (RWAs)
Maple,Advanced Compute & Integration,Real-World Assets (RWAs)
Superstate,Advanced Compute & Integration,Real-World Assets (RWAs)
ENS,Advanced Compute & Integration,Identity & Social Graphs
Lens Protocol,Advanced Compute & Integration,Identity & Social Graphs
Farcaster,Advanced Compute & Integration,Identity & Social Graphs
Aragon,Governance & Enterprise Framework,DAO Governance Systems
Tally,Governance & Enterprise Framework,DAO Governance Systems
Snapshot,Governance & Enterprise Framework,DAO Governance Systems
Safe,Governance & Enterprise Framework,DAO Governance Systems
Fireblocks,Governance & Enterprise Framework,Institutional Custody & Security
Copper,Governance & Enterprise Framework,Institutional Custody & Security
Anchorage,Governance & Enterprise Framework,Institutional Custody & Security
BitGo,Governance & Enterprise Framework,Institutional Custody & Security
