Entity,Sector ,Subsector
Aave,DeFi Systems & Architecture,Lending Markets
Compound,DeFi Systems & Architecture,Lending Markets
MakerDAO,DeFi Systems & Architecture,Lending Markets
Spark Protocol (SparkLend),DeFi Systems & Architecture,Lending Markets
Morpho (Morpho Blue),DeFi Systems & Architecture,Lending Markets
Euler,DeFi Systems & Architecture,Lending Markets
Silo Finance,DeFi Systems & Architecture,Lending Markets
Goldfinch,DeFi Systems & Architecture,Lending Markets
Maple Finance,DeFi Systems & Architecture,Lending Markets
TrueFi,DeFi Systems & Architecture,Lending Markets
Centrifuge (Tinlake / RWA pools),DeFi Systems & Architecture,Lending Markets
Clearpool,DeFi Systems & Architecture,Lending Markets
BendDAO,DeFi Systems & Architecture,Lending Markets
Arcade,DeFi Systems & Architecture,Lending Markets
Liquity (V1),DeFi Systems & Architecture,Lending Markets
Iron Bank (IB),DeFi Systems & Architecture,Lending Markets
Reflexer (RAI),DeFi Systems & Architecture,Lending Markets
Uniswap,DeFi Systems & Architecture,DEX & Liquidity Pools
SushiSwap,DeFi Systems & Architecture,DEX & Liquidity Pools
Balancer,DeFi Systems & Architecture,DEX & Liquidity Pools
Curve Finance,DeFi Systems & Architecture,DEX & Liquidity Pools
Maverick Protocol,DeFi Systems & Architecture,DEX & Liquidity Pools
dYdX (v3 on Ethereum),DeFi Systems & Architecture,DEX & Liquidity Pools
0x Protocol,DeFi Systems & Architecture,DEX & Liquidity Pools
Cow Protocol,DeFi Systems & Architecture,DEX & Liquidity Pools
Kyber Network,DeFi Systems & Architecture,DEX & Liquidity Pools
Bancor,DeFi Systems & Architecture,DEX & Liquidity Pools
Shell Protocol,DeFi Systems & Architecture,DEX & Liquidity Pools
Yearn Finance,DeFi Systems & Architecture,Yield & Structured Markets
Beefy Finance,DeFi Systems & Architecture,Yield & Structured Markets
Harvest Finance,DeFi Systems & Architecture,Yield & Structured Markets
Pendle,DeFi Systems & Architecture,Yield & Structured Markets
Element Finance,DeFi Systems & Architecture,Yield & Structured Markets
Notional Finance (fixed-rate / fCash markets),DeFi Systems & Architecture,Yield & Structured Markets
Ribbon Finance (Theta Vaults; legacy DOVs),DeFi Systems & Architecture,Yield & Structured Markets
BarnBridge (SMART Yield),DeFi Systems & Architecture,Yield & Structured Markets
Idle Finance,DeFi Systems & Architecture,Yield & Structured Markets
Sommelier,DeFi Systems & Architecture,Yield & Structured Markets
Enzyme,DeFi Systems & Architecture,Yield & Structured Markets
Ether.fi Cash,DeFi Systems & Architecture,Yield & Structured Markets
Swell (Yield Vault Products),DeFi Systems & Architecture,Yield & Structured Markets
Lido,DeFi Systems & Architecture,Liquid Staking Tokens
Rocket Pool,DeFi Systems & Architecture,Liquid Staking Tokens
Coinbase,DeFi Systems & Architecture,Liquid Staking Tokens
Frax Finance,DeFi Systems & Architecture,Liquid Staking Tokens
StakeWise,DeFi Systems & Architecture,Liquid Staking Tokens
Swell,DeFi Systems & Architecture,Liquid Staking Tokens
Ether.fi,DeFi Systems & Architecture,Liquid Staking Tokens
Ankr,DeFi Systems & Architecture,Liquid Staking Tokens
EigenLayer,DeFi Systems & Architecture,Restaking Systems
Symbiotic,DeFi Systems & Architecture,Restaking Systems
EigenDA,DeFi Systems & Architecture,Restaking Systems
AltLayer,DeFi Systems & Architecture,Restaking Systems
Ether.fi (restaking layer),DeFi Systems & Architecture,Restaking Systems
Puffer Finance,DeFi Systems & Architecture,Restaking Systems
Renzo,DeFi Systems & Architecture,Restaking Systems
Kelp DAO,DeFi Systems & Architecture,Restaking Systems
dYdX (v3 on Ethereum),DeFi Systems & Architecture,Synthetic & Derivatives
GMX,DeFi Systems & Architecture,Synthetic & Derivatives
Perpetual Protocol,DeFi Systems & Architecture,Synthetic & Derivatives
Synthetix (Perps),DeFi Systems & Architecture,Synthetic & Derivatives
